"","subjectID","age","gender","outcome","startKey","startRT","choiceKey","choiceRT","manipulation","trial_number"
"1",46,18,"Male","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"2",46,18,"Male","+5","39","1467","39","1250","undefined","1"
"3",46,18,"Male","-5","39","3018","37","790","undefined","2"
"4",46,18,"Male","+5","39","1044","39","552","undefined","3"
"5",46,18,"Male","+5","39","2187","37","1067","undefined","4"
"6",46,18,"Male","-5","39","2581","39","540","undefined","5"
"7",46,18,"Male","-5","37","580","37","722","undefined","6"
"8",46,18,"Male","-5","39","445","39","536","undefined","7"
"9",46,18,"Male","-5","37","978","37","720","undefined","8"
"10",46,18,"Male","+5","39","344","39","192","undefined","9"
"11",46,18,"Male","-5","39","341","39","166","undefined","10"
"12",46,18,"Male","-5","39","360","39","168","undefined","11"
"13",46,18,"Male","-5","39","415","39","146","undefined","12"
"14",46,18,"Male","+5","37","751","39","383","undefined","13"
"15",46,18,"Male","+5","37","434","39","261","undefined","14"
"16",46,18,"Male","-5","37","239","37","124","undefined","15"
"17",46,18,"Male","-5","39","110","39","128","undefined","16"
"18",46,18,"Male","+5","37","234","39","169","undefined","17"
"19",46,18,"Male","-5","37","151","39","149","undefined","18"
"20",46,18,"Male","+5","37","119","37","127","undefined","19"
"21",46,18,"Male","-5","39","365","39","138","undefined","20"
"22",46,18,"Male","+5","39","279","39","128","undefined","21"
"23",46,18,"Male","-5","37","221","37","133","undefined","22"
"24",46,18,"Male","-5","39","276","39","134","undefined","23"
"25",46,18,"Male","+5","39","1363","39","151","undefined","24"
"26",46,18,"Male","-5","39","449","39","151","undefined","25"
"27",46,18,"Male","+5","39","276","39","158","undefined","26"
"28",46,18,"Male","-5","37","431","37","169","undefined","27"
"29",46,18,"Male","+5","37","143","37","144","undefined","28"
"30",46,18,"Male","+5","39","387","39","135","undefined","29"
"31",46,18,"Male","-5","37","73","37","136","undefined","30"
"32",46,18,"Male","-5","37","183","37","149","undefined","31"
"33",46,18,"Male","+5","37","182","37","140","undefined","32"
"34",46,18,"Male","-5","39","236","39","138","undefined","33"
"35",46,18,"Male","+5","39","170","39","855","undefined","34"
"36",46,18,"Male","-5","39","299","39","90","undefined","35"
"37",46,18,"Male","-5","39","145","39","94","undefined","36"
"38",46,18,"Male","-5","39","89","37","223","undefined","37"
"39",46,18,"Male","-5","39","128","37","405","undefined","38"
"40",46,18,"Male","+5","39","258","39","387","undefined","39"
"41",46,18,"Male","-5","37","215","37","142","undefined","40"
"42",46,18,"Male","-5","39","402","39","137","undefined","41"
"43",46,18,"Male","-5","39","119","39","388","undefined","42"
"44",46,18,"Male","+5","39","278","39","153","undefined","43"
"45",46,18,"Male","+5","39","450","39","162","undefined","44"
"46",46,18,"Male","-5","39","433","37","126","undefined","45"
"47",46,18,"Male","-5","39","205","39","465","undefined","46"
"48",46,18,"Male","+5","37","191","37","220","undefined","47"
"49",46,18,"Male","-5","37","306","39","141","undefined","48"
"50",46,18,"Male","-5","37","323","37","249","undefined","49"
"51",46,18,"Male","+5","39","276","39","126","undefined","50"
"52",46,18,"Male","-5","37","101","37","157","undefined","51"
"53",46,18,"Male","+5","39","152","39","129","undefined","52"
"54",46,18,"Male","+5","37","145","37","640","undefined","53"
"55",46,18,"Male","-5","37","25","37","143","undefined","54"
"56",46,18,"Male","+5","39","35","39","470","undefined","55"
"57",46,18,"Male","-5","37","984","39","343","undefined","56"
"58",46,18,"Male","+5","37","313","39","329","undefined","57"
"59",46,18,"Male","-5","37","218","37","195","undefined","58"
"60",46,18,"Male","-5","39","361","39","325","undefined","59"
"61",46,18,"Male","+5","39","1082","39","251","undefined","60"
"62",46,18,"Male","+5","39","1503","39","160","undefined","61"
"63",46,18,"Male","-5","37","510","37","175","undefined","62"
"64",46,18,"Male","+5","39","990","39","190","undefined","63"
"65",46,18,"Male","+5","39","427","39","1105","undefined","64"
"66",46,18,"Male","-5","39","765","39","283","undefined","65"
"67",46,18,"Male","-5","39","591","39","443","undefined","66"
"68",46,18,"Male","-5","37","203","37","780","undefined","67"
"69",46,18,"Male","-5","39","230","39","505","undefined","68"
"70",46,18,"Male","+5","39","2054","39","435","undefined","69"
"71",46,18,"Male","-5","37","388","37","327","undefined","70"
"72",46,18,"Male","-5","39","359","39","133","undefined","71"
"73",46,18,"Male","-5","37","924","37","302","undefined","72"
"74",46,18,"Male","+5","39","318","39","231","undefined","73"
"75",46,18,"Male","+5","39","464","39","179","undefined","74"
"76",46,18,"Male","-5","37","479","37","182","undefined","75"
"77",46,18,"Male","-5","39","328","39","144","undefined","76"
"78",46,18,"Male","+5","39","380","39","147","undefined","77"
"79",46,18,"Male","-5","37","834","37","176","undefined","78"
"80",46,18,"Male","+5","39","417","39","282","undefined","79"
"81",46,18,"Male","-5","39","121","39","149","undefined","80"
"82",46,18,"Male","+5","39","1499","39","209","undefined","81"
"83",46,18,"Male","-5","39","642","39","324","undefined","82"
"84",46,18,"Male","-5","39","473","39","375","undefined","83"
"85",46,18,"Male","+5","39","452","39","217","undefined","84"
"86",46,18,"Male","-5","39","1055","39","261","undefined","85"
"87",46,18,"Male","+5","39","480","39","268","undefined","86"
"88",46,18,"Male","-5","37","652","37","525","undefined","87"
"89",46,18,"Male","+5","39","321","39","142","undefined","88"
"90",46,18,"Male","+5","39","635","39","162","undefined","89"
"91",46,18,"Male","-5","37","633","37","539","undefined","90"
"92",46,18,"Male","-5","39","1280","39","181","undefined","91"
"93",46,18,"Male","+5","37","4063","37","158","undefined","92"
"94",46,18,"Male","-5","39","5469","39","553","undefined","93"
